date, valuePerTh
2019-10-13,0.159
2019-10-14,0.168
2019-10-15,0.171
2019-10-16,0.162
2019-10-17,0.155
2019-10-18,0.158
2019-10-19,0.148
2019-10-20,0.168
2019-10-21,0.163
2019-10-22,0.162
2019-10-23,0.149
2019-10-24,0.118
2019-10-25,0.159
2019-10-26,0.172
2019-10-27,0.166
2019-10-28,0.187
2019-10-29,0.17
2019-10-30,0.177
2019-10-31,0.159
2019-11-01,0.182
2019-11-02,0.171
2019-11-03,0.177
2019-11-04,0.175
2019-11-05,0.184
2019-11-06,0.165
2019-11-07,0.174
2019-11-08,0.173
2019-11-09,0.196
2019-11-10,0.191
2019-11-11,0.166
2019-11-12,0.154
2019-11-13,0.193
2019-11-14,0.184
2019-11-15,0.162
2019-11-16,0.17
2019-11-17,0.182
2019-11-18,0.146
2019-11-19,0.185
2019-11-20,0.155
2019-11-21,0.16
2019-11-22,0.149
2019-11-23,0.149
2019-11-24,0.124
2019-11-25,0.13
2019-11-26,0.151
2019-11-27,0.151
2019-11-28,0.154
2019-11-29,0.142
2019-11-30,0.139
2019-12-01,0.156
2019-12-02,0.142
2019-12-03,0.156
2019-12-04,0.149
2019-12-05,0.132
2019-12-06,0.15
2019-12-07,0.154
2019-12-08,0.138
2019-12-09,0.146
2019-12-10,0.151
2019-12-11,0.138
2019-12-12,0.133
2019-12-13,0.153
2019-12-14,0.139
2019-12-15,0.133
2019-12-16,0.155
2019-12-17,0.126
2019-12-18,0.133
2019-12-19,0.149
2019-12-20,0.144
2019-12-21,0.146
2019-12-22,0.138
2019-12-23,0.133
2019-12-24,0.142
2019-12-25,0.137
2019-12-26,0.161
2019-12-27,0.137
2019-12-28,0.145
2019-12-29,0.144
2019-12-30,0.152
2019-12-31,0.135
2020-01-01,0.154
2020-01-02,0.111
2020-01-03,0.144
2020-01-04,0.143
2020-01-05,0.131
2020-01-06,0.125
2020-01-07,0.168
2020-01-08,0.13
2020-01-09,0.158
2020-01-10,0.141
